Step,AgentID,Wealth,Steps_not_given
4,58,1,0
4,8,0,0
4,31,0,0
5,62,1,0
5,88,0,2
5,75,1,3
5,25,1,2
5,43,3,5
5,13,2,0
5,58,0,0
5,32,1,2
5,33,1,1
5,22,1,1
5,71,0,3
5,40,6,0
5,1,0,0
5,18,0,3
5,91,3,1
5,50,1,0
5,41,0,0
5,31,0,1
5,52,0,0
5,42,0,1
5,5,0,4
5,8,0,1
5,45,1,0
5,24,2,4
5,14,1,0
5,92,0,3
5,16,0,3
5,87,2,1
5,70,0,3
5,2,0,0
5,51,0,2
5,9,0,4
5,6,1,0
5,48,1,0
5,20,0,4
5,76,0,0
5,67,1,1
5,46,0,3
5,56,1,0
5,79,0,4
5,7,2,4
5,27,3,1
5,81,0,4
5,30,1,2
5,57,0,2
5,53,1,1
5,49,1,0
5,98,2,1
5,60,1,0
5,34,0,1
5,86,3,0
5,23,2,0
5,69,1,1
5,10,3,1
5,28,2,2
5,59,0,4
5,74,0,0
5,77,3,0
5,19,2,0
5,89,1,0
5,80,1,1
5,95,1,0
5,55,0,4
5,93,1,2
5,99,3,0
5,82,3,0
5,83,2,1
5,36,0,2
5,72,1,4
5,11,0,2
5,35,0,2
5,97,0,1
5,38,2,2
5,44,1,3
5,54,0,2
5,78,1,0
5,3,2,0
5,15,0,4
5,94,1,0
5,12,0,1
5,0,0,2
5,61,1,0
5,26,3,0
5,96,0,2
5,17,1,1
5,47,0,3
5,68,0,1
5,90,3,3
5,73,1,0
5,85,1,0
5,21,3,0
5,39,1,4
5,66,1,0
5,4,2,0
5,64,0,4
5,29,0,3
5,63,2,0
5,65,3,0
5,84,0,3
5,37,0,3
6,53,0,0
6,33,0,0
6,62,1,0
6,1,0,1
6,58,0,1
6,69,2,2
6,75,1,4
6,84,1,4
6,49,1,0
6,31,0,2
6,91,3,0
6,47,1,4
6,92,0,4
6,44,0,0
6,26,2,0
6,32,1,0
6,98,2,2
6,10,3,2
6,41,0,1
6,40,6,0
6,42,0,2
6,72,2,5
6,50,1,0
6,35,0,3
6,38,2,3
6,85,1,0
6,30,1,3
6,55,0,5
6,74,0,1
6,39,1,5
6,37,0,4
6,15,1,5
6,51,1,3
6,86,3,0
6,71,0,4
6,2,0,1
6,36,0,3
6,45,0,0
6,48,0,0
6,82,3,0
6,61,2,0
6,43,4,0
6,78,2,1
6,16,0,4
6,5,0,5
6,14,2,1
6,83,1,0
6,4,2,0
6,52,0,1
6,67,1,2
6,70,1,4
6,97,0,0
6,66,1,1
6,96,0,3
6,0,1,0
6,7,2,0
6,13,1,0
6,11,0,3
6,54,0,3
6,63,1,0
6,68,0,2
6,73,1,0
6,89,2,1
6,88,0,3
6,90,2,0
6,65,2,0
6,79,0,5
6,3,2,1
6,17,2,0
6,34,0,0
6,94,2,1
6,81,0,0
6,9,0,5
6,57,0,3
6,56,1,1
6,20,0,0
6,76,0,1
6,25,2,0
6,80,2,2
6,60,0,0
6,28,2,3
6,27,3,2
6,19,1,0
6,93,0,0
6,24,2,0
6,22,1,2
6,6,0,0
6,99,3,0
6,87,2,0
6,95,0,0
6,21,2,0
6,59,0,5
6,46,0,4
6,64,1,5
6,77,2,0
6,18,0,4
6,8,0,2
6,29,0,4
6,12,0,2
6,23,2,0
7,10,3,0
7,44,0,1
7,90,1,0
7,57,0,4
7,6,0,1
7,52,0,2
7,41,1,2
7,15,0,0
7,77,2,1
7,29,0,5
7,47,0,0
7,68,0,3
7,73,0,0
7,37,0,5
7,32,2,1
7,69,2,3
7,66,1,0
7,53,0,1
7,79,0,6
7,40,6,0
7,65,1,0
7,0,0,0
7,99,3,1
7,80,2,3
7,43,3,0
7,42,0,3
7,59,1,6
7,74,0,2
7,94,3,2
7,1,0,2
7,25,2,0
7,19,1,1
7,39,1,6
7,96,0,4
7,34,0,1
7,12,0,3
7,23,3,1
7,48,1,1
7,67,1,3
7,28,1,0
7,54,1,4
7,56,1,2
7,3,2,0
7,31,0,3
7,18,0,5
7,89,2,0
7,76,1,2
7,84,1,0
7,33,0,1
7,38,1,0
7,86,3,1
7,75,0,0
7,50,2,0
7,22,2,0
7,61,2,1
7,93,0,1
7,35,0,4
7,14,3,2
7,17,2,0
7,62,2,1
7,60,0,1
7,95,0,0
7,4,1,0
7,85,0,0
7,64,2,6
7,72,2,6
7,30,0,0
7,97,0,1
7,24,2,0
7,88,0,4
7,63,1,1
7,16,1,5
7,7,1,0
7,92,0,5
7,9,0,6
7,51,2,4
7,58,0,2
7,78,1,0
7,21,2,1
7,82,2,0
7,49,0,0
7,5,0,6
7,81,0,1
7,36,0,4
7,83,1,0
7,26,2,0
7,8,0,3
7,20,0,1
7,70,1,5
7,2,0,2
7,27,3,3
7,55,0,6
7,98,2,3
7,13,1,1
7,87,3,0
7,71,1,5
7,91,3,0
7,45,0,1
7,46,0,5
7,11,0,4
8,59,1,7
8,8,1,4
8,71,2,6
8,96,0,5
8,44,0,2
8,90,0,0
8,93,1,2
8,19,1,2
8,62,2,0
8,94,3,3
8,61,1,0
8,45,0,2
8,77,2,0
8,21,1,0
8,51,2,5
8,86,3,2
8,17,2,0
8,47,0,1
8,10,3,0
8,95,0,1
8,79,0,7
8,67,1,4
8,2,0,3
8,65,0,0
8,63,1,0
8,28,1,0
8,54,1,5
8,87,3,1
8,20,0,2
8,22,2,0
8,29,0,6
8,14,4,3
8,99,3,0
8,58,0,3
8,88,1,5
8,18,0,6
8,46,1,6
8,64,2,0
8,49,0,1
8,70,1,6
8,98,1,0
8,42,1,4
8,68,0,4
8,89,2,0
8,55,0,7
8,1,0,3
8,92,0,6
8,36,0,5
8,30,0,1
8,74,1,3
8,32,2,2
8,41,1,3
8,91,2,0
8,38,1,0
8,48,1,2
8,40,5,0
8,73,0,1
8,85,0,1
8,35,0,5
8,33,0,2
8,81,1,2
8,53,0,2
8,23,4,2
8,83,1,0
8,50,2,0
8,34,0,2
8,80,2,4
8,69,1,0
8,84,1,0
8,24,2,0
8,6,0,2
8,7,0,0
8,78,1,0
8,57,0,5
8,39,1,7
8,26,2,1
8,52,0,3
8,13,1,2
8,75,0,1
8,27,4,0
8,5,0,7
8,82,1,0
8,43,3,0
8,97,0,2
8,3,2,0
8,60,0,2
8,12,0,4
8,25,3,1
8,37,0,6
8,4,1,0
8,66,0,0
8,15,1,0
8,0,0,1
8,31,0,4
8,9,0,7
8,16,1,6
8,72,1,0
8,11,0,5
8,56,1,0
8,76,0,0
9,85,0,2
9,77,1,0
9,22,2,1
9,25,3,0
9,46,1,7
9,37,1,7
9,61,1,1
9,21,1,0
9,89,2,1
9,71,2,0
9,93,1,0
9,17,2,0
9,33,0,3
9,11,1,6
9,43,3,0
9,16,2,0
9,99,2,0
9,79,0,8
9,94,4,0
9,57,0,6
9,50,2,1
9,36,0,6
9,7,0,1
9,47,0,2
9,49,0,2
9,39,1,0
9,78,0,0
9,64,1,0
9,70,1,0
9,14,4,4
9,48,1,3
9,82,1,0
9,67,1,5
9,68,0,5
9,62,2,1
9,92,0,7
9,75,0,2
9,15,0,0
9,60,0,0
9,13,1,0
9,72,1,1
9,74,1,4
9,55,0,8
9,97,0,3
9,26,2,2
9,27,4,0
9,51,2,0
9,24,2,0
9,41,1,4
9,10,3,0
9,18,0,7
9,6,0,3
9,80,1,0
9,56,0,0
9,52,0,4
9,23,5,0
9,12,0,5
9,73,1,2
9,83,0,0
9,58,1,4
9,4,1,0
9,65,1,1
9,35,0,6
9,86,3,0
